Library,Commit,Parent Module,API,Advisory Link,Anomaly,Anomaly description,Category,Reproducing Example,Vulnerable Parameter,Root cause 1,Root cause 2
Tensorflow,https://github.com/tensorflow/tensorflow/commit/f3f9cb38ecfe5a8a703f2c4a8fead434ef291713,tf.array_ops,tf.raw_ops.QuantizeAndDequantizeV3,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-9cr2-8pwr-fhfq,Non scalar input tensor,A non-scalar input tensor refers to a tensor that has more than one element or value. It represents a multi-dimensional array or a collection of values organized in a specific shape.,Tensor,"num_bits = tf.constant([], shape=[0], dtype=tf.int32)",num_bits,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/f3cf67ac5705f4f04721d15e485e192bb319feed,tf.quantization,tf.quantization.fake_quant_with_min_max_vars_gradient,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-r26c-679w-mrjm,Non scalar input tensor,A non-scalar input tensor refers to a tensor that has more than one element or value. It represents a multi-dimensional array or a collection of values organized in a specific shape.,Tensor,"arg_2=tf.constant(value=np.random.random(size=(2, 2)), shape=(2, 2), dtype=tf.float32)","min, max",N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/552bfced6ce4809db5f3ca305f60ff80dd40c5a3,tf.random,tf.random.gamma,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-mv8m-8x97-937q,Large input tensor,A large tensor refers to a tensor that has a large number of elements or values or occupies a significant amount of memory.,Tensor,"arg_0=tf.random.uniform(shape=(4,), dtype=tf.int32, maxval=65536)",shape,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/552bfced6ce4809db5f3ca305f60ff80dd40c5a3,tf.raw_ops,tf.raw_ops.RandomPoissonV2,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-cv2p-32v3-vhwq,Large input tensor,A large tensor refers to a tensor that has a large number of elements or values or occupies a significant amount of memory.,Tensor,"arg_0=tf.random.uniform(shape=(4,), dtype=tf.int32, maxval=65536)","shape, rate",N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/4419d10d576adefa36b0e0a9425d2569f7c0189f,tf.raw_ops,tf.raw_ops.Unbatch,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-mh3m-62v7-68xg,Non scalar input tensor,A non-scalar input tensor refers to a tensor that has more than one element or value. It represents a multi-dimensional array or a collection of values organized in a specific shape.,Tensor,"arg_2=tf.constant(value=np.random.randint(0,100,size=(3, 3, 1)), dtype=tf.int64)",id,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/da0d65cdc1270038e72157ba35bf74b85d9bda11,tf.raw_ops,tf.raw_ops.DrawBoundingBoxes,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-jqm7-m5q7-3hm5,Input tensor with half data type,"An input tensor with a half data type refers to a tensor that uses the float16 data type. The float16 data type, also known as half-precision floating-point format, represents a floating-point number with reduced precision compared to the standard float32 data type.",Tensor,"arg_1=tf.constant(value=np.random.random(size=(1, 2, 4)), shape=(1, 2, 4), dtype=tf.float32)",boxes,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/aed36912609fc07229b4d0a7b44f3f48efc00fd0,tf.raw_ops,tf.raw_ops.Eig,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-fqxc-pvf8-2w9v,Input argument with complex data type,"An input argument with a complex data type refers to a tensor that represents complex numbers. Complex numbers consist of a real part and an imaginary part, and they can be represented using the complex64 or complex128 data types.",tf.complex,arg_1=tf.complex128,Tout,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/27a65a43cf763897fecfa5cdb5cc653fc5dd0346,tf.raw_ops,tf.raw_ops.Conv2DBackpropInput,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-37jf-mjv6-xfqw,Zero integer list element,"In Python, a zero integer list element refers to a list element that has the value of zero (0). It is simply a list element that holds the integer value of zero.",List,"arg = [3, 1, 0, 3]",out_backprop,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/c8ba76d48567aed347508e0552a257641931024d,tf.raw_ops,tf.raw_ops.EmptyTensorList,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-qhw4-wwr7-gjc5,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"tf.ones(dtype=tf.int32, shape=[1, 0])",element_shape,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/83dcb4dbfa094e33db084e97c4d0531a559e0ebf,tf.sparse,tf.sparse.cross,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-p7hr-f446-x6qf,Non scalar input tensor,A non-scalar input tensor refers to a tensor that has more than one element or value. It represents a multi-dimensional array or a collection of values organized in a specific shape.,Tensor,"separator=tf.constant(['a', 'b']",separator,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/611d80db29dd7b0cfb755772c69d60ae5bca05f9,tf.raw_ops,tf.raw_ops.Conv2D,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-q5jv-m6qw-5g37,Zero integer list element,"In Python, a zero integer list element refers to a list element that has the value of zero (0). It is simply a list element that holds the integer value of zero.",List,"arg = [1, 0, 2, 1]",input,N.A,division by zero
Tensorflow,https://github.com/tensorflow/tensorflow/commit/bf6b45244992e2ee543c258e519489659c99fb7f,tf.raw_ops,tf.raw_ops.AudioSummaryV2,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-g9h5-vr8m-x2h4,Non scalar input tensor,A non-scalar input tensor refers to a tensor that has more than one element or value. It represents a multi-dimensional array or a collection of values organized in a specific shape.,Tensor,"arg_2=tf.random.uniform(shape=(2,1), dtype=tf.float32, maxval=None)",sample_rate,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/c1f491817dec39a26be3c574e86a88c30f3c4770,tf.raw_ops,tf.raw_ops.CollectiveGather,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-fhfc-2q7x-929f,Scalar input,"In Python, a scalar input refers to a single value or variable that represents a basic data type. It is a fundamental unit of data and does not have any internal structure or additional dimensions. Scalars are used to represent individual values such as numbers or characters.",Tensor,arg_0=1,input,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/cf70b79d2662c0d3c6af74583641e345fc939467,tf.raw_ops,tf.raw_ops.SetSize,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-wq6q-6m32-9rv9,Scalar input,"In Python, a scalar input refers to a single value or variable that represents a basic data type. It is a fundamental unit of data and does not have any internal structure or additional dimensions. Scalars are used to represent individual values such as numbers or characters.",Tensor,arg_2=1,set_shape,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/3db59a042a38f4338aa207922fa2f476e000a6ee,tf.raw_ops,tf.raw_ops.TensorListFromTensor,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-9v8w-xmr4-wgxp,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"arg_1=tf.random.uniform(shape=(6, 9, 1, 3), dtype=tf.int64, maxval=65536)",element_shape,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/bb03fdf4aae944ab2e4b35c7daa051068a8b7f61,tf.raw_ops,tf.raw_ops.TensorListScatter,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-vm7x-4qhj-rrcq,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"arg_2=tf.random.uniform(shape=(2, 2, 2), dtype=tf.int32, maxval=65536)",element_shape,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/bb03fdf4aae944ab2e4b35c7daa051068a8b7f61,tf.raw_ops,tf.raw_ops.TensorListScatterV2,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-vm7x-4qhj-rrcq,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"arg_2=tf.random.uniform(shape=(2, 2, 2), dtype=tf.int32, maxval=65536)",element_shape,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/f3cf67ac5705f4f04721d15e485e192bb319feed,tf.quantization,tf.quantization.fake_quant_with_min_max_vars_per_channel_gradient,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-h7ff-cfc9-wmmh,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"arg_1=tf.random.uniform(shape=(1,1), dtype=tf.float32, maxval=None)","min, max",N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/32d7bd3defd134f21a4e344c8dfd40099aaf6b18,tf.raw_ops,tf.raw_ops.MaxPool,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-j43h-pgmg-5hjq,Dimension mismatch,"Tensor shape mismatch: If the shapes of the input tensors are not compatible for a given operation, such as matrix multiplication, concatenation, or element-wise operations. For example, attempting to multiply two tensors with incompatible shapes like (3, 4) and (5, 6) will result in a dimension mismatch error.

Inconsistent dimensions in additional arguments: Some APIs require additional arguments like dimensions or indices to specify the dimensions or specific elements of the tensors to operate on. If these dimensions or indices are not valid or do not align with the input tensors' shapes, a dimension mismatch can occur.",Tensor,"ksize = [1, 1, 2, 2]",ksize,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/c55b476aa0e0bd4ee99d0f3ad18d9d706cd1260a,tf.linalg,tf.linalg.matrix_rank,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-9vqj-64pv-w55c,Empty input tensor,An empty input tensor refers to a tensor that has no elements or has a size of zero along one or more dimensions. It represents a tensor with no data or empty content.,Tensor,"a = tf.constant([], shape=[0, 1, 1], dtype=tf.float32)",a,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/bf4c14353c2328636a18bfad1e151052c81d5f43,tf.raw_ops,tf.raw_ops.DenseBincount,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-w62h-8xjm-fv49,Dimension mismatch,"Tensor shape mismatch: If the shapes of the input tensors are not compatible for a given operation, such as matrix multiplication, concatenation, or element-wise operations. For example, attempting to multiply two tensors with incompatible shapes like (3, 4) and (5, 6) will result in a dimension mismatch error.

Inconsistent dimensions in additional arguments: Some APIs require additional arguments like dimensions or indices to specify the dimensions or specific elements of the tensors to operate on. If these dimensions or indices are not valid or do not align with the input tensors' shapes, a dimension mismatch can occur.",Tensor,"input = tf.random.uniform(shape=[0, 0], minval=-10000, maxval=10000, dtype=tf.int32, seed=-2460)
weights = tf.random.uniform(shape=[], minval=-10000, maxval=10000, dtype=tf.float32, seed=-10000)",weights,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/7a4591fd4f065f4fa903593bc39b2f79530a74b8,tf.raw_ops,tf.raw_ops.RaggedBincount,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-wr9v-g9vf-c74v,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"splits = tf.random.uniform(shape=[0], minval=-10000, maxval=10000, dtype=tf.int64, seed=-7430)",splits,N.A,segfault
Tensorflow,https://github.com/tensorflow/tensorflow/commit/bd90b3efab4ec958b228cd7cfe9125be1c0cf255,tf.raw_ops,tf.raw_ops.LRNGrad,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-9942-r22v-78cp,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"utput_image = tf.random.uniform(shape=[4, 4, 4, 4, 4, 4], minval=-10000, maxval=10000, dtype=tf.float32, seed=-2033)",output_image,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/72180be03447a10810edca700cbc9af690dfeb51,tf.raw_ops,tf.raw_ops.ParameterizedTruncatedNormal,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-p2xf-8hgm-hpw5,Tensor with specific dtype,A tensor with random data type,Tensor,"shape = tf.random.uniform(shape=[3], minval=-10000, maxval=10000, dtype=tf.int64, seed=4894)",shape,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/5dd7b86b84a864b834c6fa3d7f9f51c87efa99d4,tf.raw_ops,tf.raw_ops.Save,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-m6vp-8q9j-whx4,Tensor with specific dtype,A tensor with random data type,Tensor,"data = tf.cast(tf.random.uniform(shape=[1], minval=-10000, maxval=10000, dtype=tf.int64, seed=-2021), tf.uint64)",data,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/5dd7b86b84a864b834c6fa3d7f9f51c87efa99d4,tf.raw_ops,f.raw_ops.SaveSlices,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-m6vp-8q9j-whx4,Tensor with specific dtype,A tensor with random data type,Tensor,"data = tf.cast(tf.random.uniform(shape=[1], minval=-10000, maxval=10000, dtype=tf.int64, seed=9712), tf.uint32)",data,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/40adbe4dd15b582b0210dfbf40c243a62f5119fa,tf.raw_ops,tf.raw_ops.SparseBincount,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-397c-5g2j-qxpv,Non sparse input tensor,"A non-sparse input tensor refers to a tensor in which most of the elements are non-zero or have significant values, meaning it has a dense representation. In a non-sparse tensor, the majority of its elements contain meaningful data or contribute to computations.",Tensor,"indices = tf.random.uniform(shape=[], minval=-10000, maxval=10000, dtype=tf.int64, seed=-1288)
values = tf.random.uniform(shape=[], minval=-10000, maxval=10000, dtype=tf.int32, seed=-9366)
dense_shape = tf.random.uniform(shape=[0], minval=-10000, maxval=10000, dtype=tf.int64, seed=-9878)","indices, values, dense_shape",N.A,segfault
Tensorflow,https://github.com/tensorflow/tensorflow/commit/88f93dfe691563baa4ae1e80ccde2d5c7a143821,tf.raw_ops,tf.raw_ops.RaggedTensorToVariant,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-m6cv-4fmf-66xf,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"rt_nested_splits = tf.constant([0,32,64], shape=[3], dtype=tf.int64)",rt_nested_splits,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/8741e57d163a079db05a7107a7609af70931def4,tf.raw_ops,tf.raw_ops.FractionalMaxPoolGrad,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-vxv8-r8q2-63xw,Dimension mismatch,"Tensor shape mismatch: If the shapes of the input tensors are not compatible for a given operation, such as matrix multiplication, concatenation, or element-wise operations. For example, attempting to multiply two tensors with incompatible shapes like (3, 4) and (5, 6) will result in a dimension mismatch error.

Inconsistent dimensions in additional arguments: Some APIs require additional arguments like dimensions or indices to specify the dimensions or specific elements of the tensors to operate on. If these dimensions or indices are not valid or do not align with the input tensors' shapes, a dimension mismatch can occur.",Tensor,"orig_output = tf.constant(.453409232, shape=[1,7,13,1], dtype=tf.float32)
out_backprop = tf.constant(.453409232, shape=[1,7,13,1], dtype=tf.float32)","orig_input, orig_output, out_backprop",N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/49b3824d83af706df0ad07e4e677d88659756d89,tf.raw_ops,tf.raw_ops.QuantizedRelu,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-v7vw-577f-vp8x,Non scalar input tensor,A non-scalar input tensor refers to a tensor that has more than one element or value. It represents a multi-dimensional array or a collection of values organized in a specific shape.,Tensor,"min_features = tf.constant([], shape=[0], dtype=tf.float32)
max_features = tf.constant(-128, shape=[1], dtype=tf.float32)","min_features, max_features",N.A,segfault
Tensorflow,https://github.com/tensorflow/tensorflow/commit/49b3824d83af706df0ad07e4e677d88659756d89,tf.raw_ops,tf.raw_ops.QuantizedRelu6,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-v7vw-577f-vp8x,Non scalar input tensor,A non-scalar input tensor refers to a tensor that has more than one element or value. It represents a multi-dimensional array or a collection of values organized in a specific shape.,Tensor,"min_features = tf.constant([], shape=[0], dtype=tf.float32)
max_features = tf.constant(-128, shape=[1], dtype=tf.float32)","min_features, max_features",N.A,segfault
Tensorflow,https://github.com/tensorflow/tensorflow/commit/73ad1815ebcfeb7c051f9c2f7ab5024380ca8613,tf.raw_ops,tf.raw_ops.QuantizeDownAndShrinkRange,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-vgvh-2pf4-jr2x,Non scalar input tensor,A non-scalar input tensor refers to a tensor that has more than one element or value. It represents a multi-dimensional array or a collection of values organized in a specific shape.,Tensor,"input_min = tf.constant([], shape=[0], dtype=tf.float32)
input_max = tf.constant(-256, shape=[1], dtype=tf.float32)","input_min, input_max",N.A,segfault
Tensorflow,https://github.com/tensorflow/tensorflow/commit/aca766ac7693bf29ed0df55ad6bfcc78f35e7f48,tf.raw_ops,tf.raw_ops.QuantizedMatMul,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-689c-r7h2-fv9v,Non scalar input tensor,A non-scalar input tensor refers to a tensor that has more than one element or value. It represents a multi-dimensional array or a collection of values organized in a specific shape.,Tensor,"min_a = tf.constant([], shape=[0], dtype=tf.float32)
max_a = tf.constant(0, shape=[1], dtype=tf.float32)
min_b = tf.constant(0, shape=[1], dtype=tf.float32)
max_b = tf.constant(0, shape=[1], dtype=tf.float32)","min_a, max_a, min_b, max_b",N.A,segfault
Tensorflow,https://github.com/tensorflow/tensorflow/commit/785d67a78a1d533759fcd2f5e8d6ef778de849e0,tf.raw_ops,tf.raw_ops.FakeQuantWithMinMaxVarsPerChannel,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-9j4v-pp28-mxv7,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"min = tf.constant([], shape=[4,0,0], dtype=tf.float32)
max = tf.constant(0, shape=[4], dtype=tf.float32)","min, max",N.A,check failure
